2024-06-17T01:17:13.127+05:30  INFO 8936 --- [Employee-Management-Portal] [restartedMain] .M.P.EmployeeManagementPortalApplication : Starting EmployeeManagementPortalApplication using Java 17.0.10 with PID 8936 (C:\Users\LEGION\Desktop\github_final\Capastone_Project_Employee_Management_Portal\Employee-Management-Portal\target\classes started by LEGION in C:\Users\LEGION\Desktop\github_final\Capastone_Project_Employee_Management_Portal\Employee-Management-Portal)
2024-06-17T01:17:13.135+05:30  INFO 8936 --- [Employee-Management-Portal] [restartedMain] .M.P.EmployeeManagementPortalApplication : No active profile set, falling back to 1 default profile: "default"
2024-06-17T01:17:13.202+05:30  INFO 8936 --- [Employee-Management-Portal] [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-06-17T01:17:13.202+05:30  INFO 8936 --- [Employee-Management-Portal] [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-06-17T01:17:14.265+05:30  INFO 8936 --- [Employee-Management-Portal] [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-06-17T01:17:14.363+05:30  INFO 8936 --- [Employee-Management-Portal] [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 83 ms. Found 4 JPA repository interfaces.
2024-06-17T01:19:24.341+05:30  INFO 8936 --- [Employee-Management-Portal] [http-nio-8080-exec-4] c.e.E.M.P.controller.AdminController     : Started get all projects by manager id controller
2024-06-17T01:19:24.348+05:30  INFO 8936 --- [Employee-Management-Portal] [http-nio-8080-exec-4] c.e.E.M.P.controller.AdminController     : Ended get all projects by manager id controller
2024-06-17T01:19:24.348+05:30  INFO 8936 --- [Employee-Management-Portal] [http-nio-8080-exec-2] c.e.E.M.P.controller.AdminController     : Ended get all projects by manager id controller
2024-06-17T01:19:24.355+05:30  INFO 8936 --- [Employee-Management-Portal] [http-nio-8080-exec-10] c.e.E.M.P.controller.AdminController     : Ended get all projects by manager id controller
2024-06-17T01:19:24.372+05:30  INFO 8936 --- [Employee-Management-Portal] [http-nio-8080-exec-1] c.e.E.M.P.controller.AdminController     : Started get all projects by manager id controller
2024-06-17T01:19:24.390+05:30  INFO 8936 --- [Employee-Management-Portal] [http-nio-8080-exec-1] c.e.E.M.P.controller.AdminController     : Ended get all projects by manager id controller
2024-06-17T01:19:24.901+05:30  INFO 8936 --- [Employee-Management-Portal] [http-nio-8080-exec-8] c.e.E.M.P.controller.ResourceController  : Started get all resource requests controller
2024-06-17T01:19:24.912+05:30  WARN 8936 --- [Employee-Management-Portal] [http-nio-8080-exec-8] .m.m.a.ExceptionHandlerExceptionResolver : Resolved [com.employee.Employee.Management.Portal.exception.DataNotFoundException: No requests found]
2024-06-17T01:19:28.456+05:30  INFO 8936 --- [Employee-Management-Portal] [http-nio-8080-exec-7] c.e.E.M.P.controller.AdminController     : Started get all managers controller
2024-06-17T01:19:28.463+05:30  INFO 8936 --- [Employee-Management-Portal] [http-nio-8080-exec-7] c.e.E.M.P.controller.AdminController     : Ended get all managers controller
